Pixel,WL,Used,ADC(1)
1189,787.429,1,257
1190,787.714,1,537
1191,788,1,430
1192,788.286,1,454
1193,788.571,1,410
1194,788.857,1,274
1195,789.143,1,356
1196,789.429,1,491
1197,789.714,1,428
1198,790,1,456
1199,790.294,1,430
1200,790.588,1,567
1201,790.882,1,288
1202,791.177,1,480
1203,791.471,1,422
1204,791.765,1,365
1205,792.059,1,416
1206,792.353,1,375
1207,792.647,1,432
1208,792.941,1,498
1209,793.235,1,426
1210,793.529,1,378
1211,793.824,1,424
1212,794.118,1,477
1213,794.412,1,262
1214,794.706,1,453
1215,795,1,402
1216,795.294,1,418
1217,795.588,1,551
1218,795.882,1,329
1219,796.177,1,486
1220,796.471,1,460
1221,796.765,1,418
1222,797.059,1,422
1223,797.353,1,329
1224,797.647,1,411
1225,797.941,1,249
1226,798.235,1,299
1227,798.529,1,357
1228,798.824,1,462
1229,799.118,1,432
1230,799.412,1,465
1231,799.706,1,382
1232,800,1,450
1233,800.357,1,507
1234,800.714,1,410
1235,801.071,1,378
1236,801.429,1,436
1237,801.786,1,198
1238,802.143,1,420
1239,802.5,1,452
1240,802.857,1,444
1241,803.214,1,557
1242,803.571,1,254
1243,803.929,1,335
1244,804.286,1,431
1245,804.643,1,274
1246,805,1,452
1247,805.357,1,316
1248,805.714,1,346
1249,806.071,1,510
1250,806.429,1,426
1251,806.786,1,452
1252,807.143,1,449
1253,807.5,1,395
1254,807.857,1,400
1255,808.214,1,457
1256,808.571,1,444
1257,808.929,1,439
1258,809.286,1,399
1259,809.643,1,407
1260,810,1,435
1261,810.313,1,476
1262,810.625,1,416
1263,810.938,1,319
1264,811.25,1,357
1265,811.563,1,486
1266,811.875,1,504
1267,812.188,1,446
1268,812.5,1,378
1269,812.813,1,328
1270,813.125,1,415
1271,813.438,1,590
1272,813.75,1,524
1273,814.063,1,297
1274,814.375,1,360
1275,814.688,1,426
1276,815,1,514
1277,815.313,1,368
1278,815.625,1,469
1279,815.938,1,498
1280,816.25,1,416
1281,816.563,1,573
1282,816.875,1,274
1283,817.188,1,506
1284,817.5,1,462
1285,817.813,1,368
1286,818.125,1,432
1287,818.438,1,458
1288,818.75,1,559
1289,819.063,1,474
1290,819.375,1,407
1291,819.688,1,388
1292,820,1,493
1293,820.303,1,474
1294,820.606,1,282
1295,820.909,1,432
1296,821.212,1,502
1297,821.515,1,395
1298,821.818,1,406
1299,822.121,1,416
1300,822.424,1,552
1301,822.727,1,403
1302,823.03,1,476
1303,823.333,1,406
1304,823.636,1,280
1305,823.939,1,510
1306,824.242,1,206
1307,824.546,1,453
1308,824.849,1,494
1309,825.152,1,453
1310,825.455,1,428
1311,825.758,1,388
1312,826.061,1,407
1313,826.364,1,540
1314,826.667,1,420
1315,826.97,1,379
1316,827.273,1,448
1317,827.576,1,480
1318,827.879,1,288
1319,828.182,1,516
1320,828.485,1,437
1321,828.788,1,465
1322,829.091,1,317
1323,829.394,1,272
1324,829.697,1,454
1325,830,1,405
1326,830.313,1,555
1327,830.625,1,382
1328,830.938,1,352
1329,831.25,1,490
1330,831.563,1,232
1331,831.875,1,446
1332,832.188,1,298
